rq_verb,example_question,build_this_table_view,minimum_columns_or_evidence,defensible_output,reviewer_challenge,red_flag,recommended_methods
Describe,What did learners do?,"One row per person task artifact event or session being summarized","Stable unit ID inclusion/exclusion rules missingness timestamps or context when relevant","Frequency distribution pattern or descriptive profile in this dataset","Are the records complete enough for the pattern being reported?","Turning description into cause","Descriptive statistics event summaries visualization artifact inventories"
Compare,How do groups differ?,"One row per comparable unit with group labels and the same outcome definition","Group membership outcome measurement timing baseline/context variables sampling notes","Observed group difference not intervention effect","Are the groups meaningfully comparable and what does the label represent?","Implying intervention effect without design","Group summaries regression nonparametric comparison multilevel models when nested"
Associate,How are X and Y related?,"One row per unit with X Y timing and planned covariates","Measured predictor/outcome temporal ordering if implied missingness non-overlapping measures adjustment logic","Association or model-adjusted relation","Could timing confounding or measurement overlap explain the relation?","Saying X influenced Y","Correlation regression multilevel association models SEM"
Predict,Can early behavior predict later outcome?,"Prediction table with features available before the target outcome","Outcome timing train/test or external split leakage check feature provenance metrics chosen before inspection","Predictive performance under validation","Was future or outcome information accidentally leaked into predictors?","Treating prediction as explanation","Supervised ML regularized regression calibration validation checks"
Sequence,What pathways or transitions occurred?,"Event table with one row per action turn move code or timestamped state","Actor/session ID event label order timestamp or turn number event-definition logic","Pathway transition process pattern or trajectory","Did the analysis preserve order or flatten the process into independent rows?","Flattening sequence then claiming process","Sequence mining TNA process mining Markov/HMM transition graphs"
Explain,Why did participants act this way?,"Case/evidence table linking excerpts observations artifacts and analytic memos","Sampling logic context transcript/artifact source coding trail rival interpretations memo evidence","Interpretation account or plausible mechanism","What evidence supports this interpretation over alternatives?","Claiming prevalence or universal reason","Thematic discourse interaction case or mechanism-oriented qualitative analysis"
Measure,Does this trace indicate engagement?,"Indicator table connecting constructs to items scores traces codes or detectors","Construct definition indicator rationale reliability validity evidence population/context fit","Bounded proxy or score interpretation","Why should this indicator represent the construct here?","Treating raw clicks as construct truth","Validity argument reliability checks measurement modeling external validation"
Evaluate,Did X improve Y?,"Design table linking units treatment/comparison timing outcome and identification feature","Assignment or comparison logic baseline equivalence attrition contamination checks outcome timing","Effect estimate when design assumptions are met otherwise implementation-associated change","What design feature rules out plausible alternative explanations?","Causal language from convenience pre/post data","RCT QED RD ITS SCED analysis causal models with defendable assumptions"
Generalize,Would this hold elsewhere?,"Transport table comparing source sample/context to target population/context","Sampling frame platform/task context subgroup coverage external validation replication or population evidence","Bounded generalization","What population platform task and time period does this evidence represent?","Universal claim from one sample","External validation replication subgroup analysis transportability checks"
Integrate,How do logs and interviews explain each other?,"Joint-display table where each row connects quantitative result qualitative evidence and inference","Mixed-methods design integration point role of each data source convergence/divergence logic","Integrated interpretation across evidence types","Where exactly do the evidence sources inform or challenge each other?","Parallel findings with no integration warrant","Joint displays triangulation explanatory sequential or convergent mixed methods"
