user_id,cond,turn_idx,speaker,ASK,EXPLAIN,EXAMPLE,AGREE,ELABORATE
P001,treatment,1,A,0,1,0,0,0
P001,treatment,2,B,0,0,0,0,1
P001,treatment,3,A,0,0,0,0,1
P001,treatment,4,A,0,0,1,0,0
P001,treatment,5,B,0,0,0,0,1
P001,treatment,6,A,0,0,0,0,1
P001,treatment,7,B,0,1,0,0,0
P001,treatment,8,A,0,0,0,0,1
P001,treatment,9,B,0,0,0,0,1
P001,treatment,10,B,0,0,0,1,0
P001,treatment,11,B,0,0,0,0,1
P001,treatment,12,B,0,0,1,0,0
P001,treatment,13,A,1,0,0,0,0
P001,treatment,14,B,0,0,0,0,1
P001,treatment,15,A,0,0,0,0,1
P001,treatment,16,B,0,0,0,1,0
P001,treatment,17,A,0,0,1,0,0
P001,treatment,18,B,0,0,0,0,1
P001,treatment,19,B,0,0,0,0,1
P001,treatment,20,A,0,0,0,0,1
P001,treatment,21,B,0,0,0,1,0
P001,treatment,22,A,0,0,0,1,0
P001,treatment,23,B,0,0,0,1,0
P001,treatment,24,A,0,0,0,0,1
P001,treatment,25,B,1,0,0,0,0
P001,treatment,26,B,0,0,0,0,1
P001,treatment,27,A,0,1,0,0,0
P001,treatment,28,B,0,0,1,0,0
P001,treatment,29,B,0,0,0,0,1
P001,treatment,30,A,0,1,0,0,0
P001,treatment,31,B,0,0,1,0,0
P001,treatment,32,A,0,0,0,1,0
P001,treatment,33,B,0,1,0,0,0
P001,treatment,34,B,0,1,0,0,0
P001,treatment,35,A,0,0,0,0,1
P001,treatment,36,B,0,0,1,0,0
P001,treatment,37,A,0,0,0,0,1
P001,treatment,38,B,0,0,0,1,0
P001,treatment,39,A,0,1,0,0,0
P001,treatment,40,B,1,0,0,0,0
P001,treatment,41,A,0,1,0,0,0
P001,treatment,42,B,0,0,0,0,1
P001,treatment,43,B,1,0,0,0,0
P001,treatment,44,A,0,0,0,0,1
P001,treatment,45,B,1,0,0,0,0
P001,treatment,46,A,1,0,0,0,0
P001,treatment,47,A,0,0,0,0,1
P001,treatment,48,A,0,0,0,1,0
P001,treatment,49,A,0,1,0,0,0
P002,treatment,1,A,0,0,0,1,0
P002,treatment,2,B,0,0,0,0,1
P002,treatment,3,A,0,0,1,0,0
P002,treatment,4,B,0,0,0,0,1
P002,treatment,5,A,1,0,0,0,0
P002,treatment,6,B,0,1,0,0,0
P002,treatment,7,A,0,0,1,0,0
P002,treatment,8,B,0,0,0,0,1
P002,treatment,9,A,0,1,0,0,0
P002,treatment,10,B,0,0,0,1,0
P002,treatment,11,A,1,0,0,0,0
P002,treatment,12,A,0,1,0,0,0
P002,treatment,13,B,0,0,0,1,0
P002,treatment,14,B,0,1,0,0,0
P002,treatment,15,B,0,1,0,0,0
P002,treatment,16,A,0,0,0,1,0
P002,treatment,17,B,0,0,0,0,1
P002,treatment,18,A,0,1,0,0,0
P002,treatment,19,A,0,0,0,0,1
P002,treatment,20,B,1,0,0,0,0
P002,treatment,21,A,0,1,0,0,0
P002,treatment,22,A,0,0,1,0,0
P002,treatment,23,B,0,0,0,0,1
P002,treatment,24,B,0,0,0,0,1
P002,treatment,25,A,0,0,1,0,0
P002,treatment,26,A,0,0,1,0,0
P002,treatment,27,B,0,0,0,0,1
P002,treatment,28,A,1,0,0,0,0
P002,treatment,29,B,0,0,0,0,1
P002,treatment,30,A,1,0,0,0,0
P002,treatment,31,A,0,0,1,0,0
P002,treatment,32,B,0,1,0,0,0
P002,treatment,33,A,0,0,1,0,0
P002,treatment,34,B,0,0,0,0,1
P002,treatment,35,A,0,0,0,1,0
P002,treatment,36,B,0,0,0,0,1
P002,treatment,37,B,1,0,0,0,0
P003,treatment,1,A,1,0,0,0,0
P003,treatment,2,A,0,0,0,0,1
P003,treatment,3,B,0,0,1,0,0
P003,treatment,4,A,0,0,0,1,0
P003,treatment,5,A,0,0,0,0,1
P003,treatment,6,A,1,0,0,0,0
P003,treatment,7,A,0,1,0,0,0
P003,treatment,8,B,0,1,0,0,0
P003,treatment,9,A,0,0,1,0,0
P003,treatment,10,A,0,0,0,1,0
P003,treatment,11,A,0,0,0,0,1
P003,treatment,12,B,0,0,1,0,0
P003,treatment,13,B,0,0,0,1,0
P003,treatment,14,A,0,1,0,0,0
P003,treatment,15,B,0,1,0,0,0
P003,treatment,16,A,0,0,1,0,0
P003,treatment,17,B,0,1,0,0,0
P003,treatment,18,A,1,0,0,0,0
P003,treatment,19,B,0,1,0,0,0
P003,treatment,20,A,0,0,1,0,0
P003,treatment,21,B,0,0,0,0,1
P003,treatment,22,B,1,0,0,0,0
P003,treatment,23,A,0,0,0,0,1
P003,treatment,24,B,0,1,0,0,0
P003,treatment,25,A,1,0,0,0,0
P003,treatment,26,B,0,1,0,0,0
P003,treatment,27,A,0,0,1,0,0
P003,treatment,28,B,0,0,0,0,1
P003,treatment,29,A,0,0,0,0,1
P003,treatment,30,B,0,0,1,0,0
P003,treatment,31,B,0,0,1,0,0
P003,treatment,32,A,0,0,0,0,1
P003,treatment,33,A,0,0,0,0,1
P003,treatment,34,B,0,0,0,0,1
P003,treatment,35,B,0,0,1,0,0
P004,treatment,1,A,1,0,0,0,0
P004,treatment,2,B,0,1,0,0,0
P004,treatment,3,B,0,0,0,1,0
P004,treatment,4,A,0,1,0,0,0
P004,treatment,5,B,0,0,1,0,0
P004,treatment,6,B,0,0,0,0,1
P004,treatment,7,B,1,0,0,0,0
P004,treatment,8,B,1,0,0,0,0
P004,treatment,9,A,0,0,0,0,1
P004,treatment,10,B,0,1,0,0,0
P004,treatment,11,A,0,0,1,0,0
P004,treatment,12,B,0,0,0,1,0
P004,treatment,13,A,0,1,0,0,0
P004,treatment,14,A,0,0,1,0,0
P004,treatment,15,B,0,0,0,1,0
P004,treatment,16,B,0,0,1,0,0
P004,treatment,17,B,0,1,0,0,0
P004,treatment,18,A,1,0,0,0,0
P004,treatment,19,B,1,0,0,0,0
P004,treatment,20,A,0,0,1,0,0
P004,treatment,21,B,0,0,1,0,0
P004,treatment,22,A,0,0,0,1,0
P004,treatment,23,B,0,0,1,0,0
P004,treatment,24,B,0,1,0,0,0
P004,treatment,25,A,0,0,1,0,0
P004,treatment,26,B,0,0,0,1,0
P004,treatment,27,B,0,1,0,0,0
P004,treatment,28,A,0,0,1,0,0
P004,treatment,29,B,0,0,0,0,1
P004,treatment,30,B,0,0,0,1,0
P004,treatment,31,A,0,0,1,0,0
P004,treatment,32,A,0,0,0,0,1
P004,treatment,33,B,0,0,1,0,0
P004,treatment,34,A,1,0,0,0,0
P004,treatment,35,B,0,1,0,0,0
P004,treatment,36,A,0,1,0,0,0
P004,treatment,37,B,0,0,1,0,0
P004,treatment,38,A,0,0,0,0,1
P004,treatment,39,B,0,0,0,0,1
P004,treatment,40,A,0,0,1,0,0
P004,treatment,41,B,1,0,0,0,0
P005,treatment,1,A,1,0,0,0,0
P005,treatment,2,B,0,1,0,0,0
P005,treatment,3,A,0,0,0,0,1
P005,treatment,4,B,0,0,0,1,0
P005,treatment,5,B,0,1,0,0,0
P005,treatment,6,B,1,0,0,0,0
