schema_version,environment_id,environment_version,session_id,attempt_id,learner_pseudonym,timestamp_utc,elapsed_ms,sequence_index,task_id,state_id,event_type,actor_action,target_type,target_id,result_status,attempt_number,available_supports,support_used,pre_state,post_state,privacy_tier,payload
interactive-telemetry-v1,ivr-lab-safety-demo,0.2,S001,A001,P001,2026-05-09T15:00:00Z,0,1,lab-safety,burner_station,task_started,start,station,burner_station,success,1,"mentor_prompt;procedure_card",none,not_started,in_progress,low,"{}"
interactive-telemetry-v1,ivr-lab-safety-demo,0.2,S001,A001,P001,2026-05-09T15:00:21Z,21000,2,lab-safety,burner_station,zone_entered,approach,zone,burner_station,success,1,"mentor_prompt;procedure_card",none,in_progress,station_visible,low,"{""hazard_visibility"":""partial"",""fov_target"":""burner""}"
interactive-telemetry-v1,ivr-lab-safety-demo,0.2,S001,A001,P001,2026-05-09T15:00:44Z,44000,3,lab-safety,burner_station,hazard_inspected,inspect,hazard,open_flame,success,1,"mentor_prompt;procedure_card",none,station_visible,hazard_seen,moderate,"{""gaze_dwell_ms"":1800,""proximity_m"":1.2}"
interactive-telemetry-v1,ivr-lab-safety-demo,0.2,S001,A001,P001,2026-05-09T15:01:12Z,72000,4,lab-safety,burner_station,tool_manipulated,grasp,tool,safety_tongs,success,1,"mentor_prompt;procedure_card",none,hazard_seen,tool_ready,moderate,"{""controller_path_quality"":""usable"",""pose_confidence"":0.82}"
interactive-telemetry-v1,ivr-lab-safety-demo,0.2,S001,A001,P001,2026-05-09T15:01:40Z,100000,5,lab-safety,burner_station,step_revised,revise,procedure,heat_transfer_step,success,1,"mentor_prompt;procedure_card",procedure_card,tool_ready,procedure_revised,low,"{""revision_reason"":""feedback_after_warning""}"
interactive-telemetry-v1,cyber-range-demo,0.1,S002,A001,P002,2026-05-09T15:10:00Z,0,1,trace-route,node-grid,task_started,start,task,trace-route,success,1,"tutorial_uplink;hint_panel",none,not_started,in_progress,low,"{}"
interactive-telemetry-v1,cyber-range-demo,0.1,S002,A001,P002,2026-05-09T15:10:22Z,22000,2,trace-route,node-grid,node_inspected,inspect,node,router-03,success,1,"tutorial_uplink;hint_panel",none,in_progress,node_selected,low,"{""node_role"":""router""}"
interactive-telemetry-v1,cyber-range-demo,0.1,S002,A001,P002,2026-05-09T15:10:55Z,55000,3,trace-route,node-grid,failure_triggered,run_trace,route,path-02,blocked,1,"tutorial_uplink;hint_panel",none,node_selected,path_blocked,low,"{""failure_type"":""blocked_path""}"
interactive-telemetry-v1,ai-design-studio-demo,0.1,S003,A001,P003,2026-05-09T15:20:00Z,0,1,prototype-review,workspace,task_started,start,task,prototype-review,success,1,"rubric;ai_assistant;example_bank",none,not_started,in_progress,low,"{}"
interactive-telemetry-v1,ai-design-studio-demo,0.1,S003,A001,P003,2026-05-09T15:22:10Z,130000,2,prototype-review,workspace,ai_prompt_used,draft,prompt,feedback_request,success,1,"rubric;ai_assistant;example_bank",ai_assistant,in_progress,feedback_generated,moderate,"{""prompt_category"":""critique"",""disclosure_required"":true}"
