data_type,raw_forms,unit_of_analysis,good_for,analysis_families,supported_claims,common_overclaim,minimum_validity_checks,research_genres,starter_artifact
Survey and self-report data,"Likert scales, open responses, motivation/SRL/usability items","person, group, time point","perceptions, attitudes, self-efficacy, strategy reports","descriptive, factor analysis, reliability, regression, mixed methods","describe, compare, associate, measure","treating attitudes as observed behavior","scale meaning, reliability, sampling, response bias, missingness","survey study, perception-outcome study, instrument validation","data_dictionary_template.csv"
Assessment and performance data,"scores, item responses, rubrics, mastery labels, grades","item, learner, task, course","achievement, mastery, performance change","IRT/Rasch, CDM, reliability, regression, knowledge tracing","describe, compare, predict, measure, evaluate","treating scores as construct truth without validity evidence","scoring rules, reliability, construct alignment, timing, scale invariance","measurement paper, learning outcome study, adaptive assessment","validity_checklist.md"
Digital trace and clickstream data,"LMS logs, clicks, page views, attempts, dwell time","event, learner-session, resource","platform behavior, participation, timing, tool use","descriptive analytics, dashboards, ML, survival/time-to-event, process mining","describe, associate, predict, sequence","claiming cognition or engagement directly from clicks","event definitions, missing events, timestamp quality, platform affordances","learning analytics dashboard, early-alert model, behavior study","data_dictionary_template.csv"
Sequence and process data,"ordered events, turns, coded actions, transitions, pathways","sequence, event pair, learner trajectory","temporal order, pathways, strategies, state transitions","sequence mining, TNA, ONA, ENA, process mining, Markov/HMM","describe, sequence, compare, predict","flattening events then making process claims","event boundaries, ordering, unit of analysis, windowing, code stability","process analytics, learning pathway study, strategy comparison","agent_prompt_data_analysis_matrix.md"
Text and writing data,"essays, reflections, prompts, feedback, short answers","document, sentence, utterance, learner","meaning, argumentation, feedback, concepts, writing quality","qualitative coding, NLP, topic modeling, embeddings, classification, LLM-assisted coding","describe, explain, predict, measure","using automated labels as verified constructs","annotation quality, model validation, language/context fit, human audit","writing analytics, NLP-in-education, feedback study","reviewer_objection_bank.md"
Discourse and collaboration data,"discussion posts, chat, talk turns, replies, argument moves","turn, thread, group, episode","knowledge construction, uptake, regulation, participation","discourse analysis, content analysis, visual analytics, NLP, ENA/ONA","describe, explain, sequence, integrate","counting posts as collaboration quality","segmentation, speaker roles, coding framework, temporal context","CSCL discourse study, collaborative learning analytics","data_dictionary_template.csv"
Social and relational data,"reply networks, peer ties, co-editing, co-presence, group membership","node, tie, group, artifact relation","interaction structure, centrality, brokerage, participation patterns","SNA, two-mode networks, ERGM, community detection, epistemic networks","describe, compare, associate","treating centrality as learning quality by itself","tie definition, direction/weight, missing actors, network boundary","social learning analytics, CSCL network study","validity_checklist.md"
Video audio and interaction records,"classroom video, screen capture, speech, gesture, embodied action","episode, gesture, utterance, interaction sequence","context, embodiment, interactional meaning, classroom practice","interaction analysis, multimodal coding, speech/NLP, microgenetic analysis","describe, explain, sequence, integrate","generalizing from selected rich episodes without sampling logic","camera coverage, transcript quality, episode selection, coder agreement","video interaction study, classroom learning sciences paper","reviewer_objection_bank.md"
Multimodal sensor data,"eye gaze, posture, facial expression, physiological signals, spatial trails","signal window, synchronized event, learner state","attention proxies, arousal, coordination, embodied learning","feature extraction, multimodal fusion, ML, time-series analysis","predict, sequence, measure, integrate","treating sensor signals as direct emotion or cognition","calibration, synchronization, noise, construct mapping, missing streams","MMLA study, sensor-based learning analytics","validity_checklist.md"
Artifact and design-product data,"code, drawings, models, game artifacts, design documents","artifact, revision, feature, submission","learning products, design choices, competence evidence","rubric scoring, qualitative artifact analysis, code metrics, portfolio analytics","describe, measure, explain, compare","inferring process from final artifact alone","rubric alignment, task constraints, revision history, scorer reliability","design-based research, constructionist learning, portfolio assessment","data_dictionary_template.csv"
Intervention and experimental design data,"condition labels, pre/post, fidelity logs, treatment exposure","learner, class, school, time point","effects under design assumptions, implementation variation","RCT, QED, RD, ITS, SCED, DiD, causal forests where warranted","evaluate, compare, generalize","causal language from convenience pre/post data","assignment, baseline equivalence, attrition, fidelity, contamination","intervention evaluation, design-based intervention study","validity_checklist.md"
Administrative and institutional data,"enrollment, demographics, course history, advising, retention","student, course, program, term","equity patterns, persistence, course pathways, institutional risk","descriptive, multilevel models, survival analysis, predictive analytics, fairness audit","describe, predict, compare, generalize","deficit framing or unsupported individual diagnosis","data governance, population definition, subgroup validity, fairness, privacy","institutional learning analytics, retention study","reviewer_objection_bank.md"
